stage,dataset,dataset_slug,source_dataset,source_dataset_slug,model,initialization,adaptation,train_fraction,train_fraction_label,train_size,val_size,test_size,accuracy,macro_f1,macro_precision,macro_recall,best_val_accuracy,clean_accuracy,occluded_accuracy,texture_accuracy,occluded_drop,texture_drop,parameter_count,training_time_seconds,training_time_readable,checkpoint_path,evaluation_summary_path
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,pretrained,full_finetune,None,None,4760,840,1600,0.8938,0.8917,None,None,0.9429,None,None,None,None,None,372740,796.48,13m 16s,outputs/brain_mri_transfer/checkpoints/cnn_pretrained_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,pretrained,linear_probe,None,None,4760,840,1600,0.6731,0.6715,None,None,0.7333,None,None,None,None,None,1028,2530.46,42m 10s,outputs/brain_mri_transfer/checkpoints/cnn_pretrained_linear_probe_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,scratch,full_finetune,None,None,4760,840,1600,0.8256,0.823,None,None,0.9155,None,None,None,None,None,372740,798.08,13m 18s,outputs/brain_mri_transfer/checkpoints/cnn_scratch_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,pretrained,full_finetune,None,None,4760,840,1600,0.94,0.9386,None,None,0.9881,None,None,None,None,None,5990122,9078.26,2h 31m 18s,outputs/brain_mri_transfer/checkpoints/dhvt_pretrained_full_finetune_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,pretrained,linear_probe,None,None,4760,840,1600,0.7688,0.7648,None,None,0.8405,None,None,None,None,None,772,3564.47,59m 24s,outputs/brain_mri_transfer/checkpoints/dhvt_pretrained_linear_probe_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,scratch,full_finetune,None,None,4760,840,1600,0.8788,0.8776,None,None,0.9345,None,None,None,None,None,5990122,10620.52,2h 57m 00s,outputs/brain_mri_transfer/checkpoints/dhvt_scratch_full_finetune_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,pretrained,full_finetune,None,None,4760,840,1600,0.93,0.9279,None,None,0.9762,None,None,None,None,None,1987012,2876.16,47m 56s,outputs/brain_mri_transfer/checkpoints/vit_pretrained_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,pretrained,linear_probe,None,None,4760,840,1600,0.76,0.7524,None,None,0.8179,None,None,None,None,None,772,928.06,15m 28s,outputs/brain_mri_transfer/checkpoints/vit_pretrained_linear_probe_brain_tumor_mri_best.pt,None
downstream,Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,scratch,full_finetune,None,None,4760,840,1600,0.8588,0.8554,None,None,0.9214,None,None,None,None,None,1987012,2867.12,47m 47s,outputs/brain_mri_transfer/checkpoints/vit_scratch_brain_tumor_mri_best.pt,None
downstream,EuroSAT,eurosat,CIFAR-10,cifar10,cnn,pretrained,full_finetune,None,None,21600,2700,2700,0.9674,0.966,None,None,0.9767,None,None,None,None,None,374282,683.37,11m 23s,outputs/eurosat_transfer/checkpoints/cnn_pretrained_eurosat_best.pt,None
